"wikidata_url","wikidata_qid","place_label","location"
http://www.wikidata.org/entity/Q1011697,Q1011697,Mosstodloch,Point(-3.11522 57.6295)
http://www.wikidata.org/entity/Q1011705,Q1011705,Uplawmoor,Point(-4.496 55.765)
http://www.wikidata.org/entity/Q1011720,Q1011720,Newcastleton,Point(-2.81807 55.1791)
http://www.wikidata.org/entity/Q1011728,Q1011728,Fochabers,Point(-3.09711 57.6122)
http://www.wikidata.org/entity/Q1011743,Q1011743,Tarbolton,Point(-4.4866 55.5132)
http://www.wikidata.org/entity/Q1011746,Q1011746,Lamlash,Point(-5.1235 55.5373)
http://www.wikidata.org/entity/Q1011751,Q1011751,West Calder,Point(-3.56854 55.852)
http://www.wikidata.org/entity/Q1011778,Q1011778,Portknockie,Point(-2.85 57.6833)
http://www.wikidata.org/entity/Q1011787,Q1011787,Girvan,Point(-4.85614 55.2382)
http://www.wikidata.org/entity/Q1011820,Q1011820,Edzell,Point(-2.65504 56.8072)
http://www.wikidata.org/entity/Q1011829,Q1011829,Friockheim,Point(-2.66838 56.6364)
http://www.wikidata.org/entity/Q1011845,Q1011845,West Linton,Point(-3.3554 55.7526)
http://www.wikidata.org/entity/Q1011954,Q1011954,Limekilns,Point(-3.46667 56.0333)
http://www.wikidata.org/entity/Q1011960,Q1011960,Leuchars,Point(-2.8835 56.3814)
http://www.wikidata.org/entity/Q1011963,Q1011963,St Monans,Point(-2.76658 56.206)
http://www.wikidata.org/entity/Q1011984,Q1011984,Strathmiglo,Point(-3.27095 56.2768)
http://www.wikidata.org/entity/Q1011989,Q1011989,Kilfenora,Point(-9.213611 52.993889)
http://www.wikidata.org/entity/Q1011990,Q1011990,Strathkinness,Point(-2.8769 56.3356)
http://www.wikidata.org/entity/Q1011998,Q1011998,Kennoway,Point(-3.05 56.2)
http://www.wikidata.org/entity/Q1012013,Q1012013,Lossiemouth,Point(-3.28333 57.7167)
http://www.wikidata.org/entity/Q1012019,Q1012019,Larkhall,Point(-3.972 55.737)
http://www.wikidata.org/entity/Q1012031,Q1012031,Wisbech,Point(0.160311111 52.664161111)
http://www.wikidata.org/entity/Q1012033,Q1012033,Fort Augustus,Point(-4.68066 57.1432)
http://www.wikidata.org/entity/Q1012036,Q1012036,Polstead Heath,Point(0.911479 52.022976)
http://www.wikidata.org/entity/Q1012044,Q1012044,Skelton,Point(-2.875555555 54.710833333)
http://www.wikidata.org/entity/Q1012050,Q1012050,Hadleigh Heath,Point(0.915 52.035)
http://www.wikidata.org/entity/Q1012054,Q1012054,North Berwick,Point(-2.717 56.058)
http://www.wikidata.org/entity/Q1012069,Q1012069,Falkland,Point(-3.2 56.25)
http://www.wikidata.org/entity/Q1012311,Q1012311,Lhanbryde,Point(-3.21667 57.6333)
http://www.wikidata.org/entity/Q1012337,Q1012337,Pitmedden,Point(-2.18 57.337)
http://www.wikidata.org/entity/Q1012344,Q1012344,Kinloss,Point(-3.56756 57.6337)
http://www.wikidata.org/entity/Q1012401,Q1012401,Jedburgh,Point(-2.533333333 55.633333333)
http://www.wikidata.org/entity/Q1012470,Q1012470,Fermoy,Point(-8.276138 52.142022)
http://www.wikidata.org/entity/Q1012476,Q1012476,Youghal,Point(-7.845612 51.951671)
http://www.wikidata.org/entity/Q1012481,Q1012481,Whitehaven,Point(-3.5855 54.548)
http://www.wikidata.org/entity/Q1012496,Q1012496,Trim,Point(-6.793413 53.552241)
http://www.wikidata.org/entity/Q1012502,Q1012502,Wick,Point(-3.089 58.454)
http://www.wikidata.org/entity/Q1012507,Q1012507,Fleetwood,Point(-3.015 53.923)
http://www.wikidata.org/entity/Q1012535,Q1012535,Helston,Point(-5.27 50.1)
http://www.wikidata.org/entity/Q101254,Q101254,Newport,Point(-3.0 51.583333333)
http://www.wikidata.org/entity/Q1013052,Q1013052,South Cadbury,Point(-2.5241 51.0285)
http://www.wikidata.org/entity/Q1013057,Q1013057,Writtle,Point(0.427 51.729)
http://www.wikidata.org/entity/Q1013533,Q1013533,Kirkfieldbank,Point(-3.8047 55.6744)
http://www.wikidata.org/entity/Q1013536,Q1013536,Rigside,Point(-3.78028 55.5972)
http://www.wikidata.org/entity/Q1013539,Q1013539,Gargunnock,Point(-4.08485 56.1256)
http://www.wikidata.org/entity/Q1013550,Q1013550,Strathaven,Point(-4.069 55.68)
