"id","type","lon","lat","place","name","name:en","name:zh","wikipedia","wikidata"
,node,0.2231,51.4132,,Sutton-at-Hone,,,,
,node,-3.5844,55.1034,,Lochar,,,,
,node,-3.72,55.98,,Upper Braes,,,,
,node,-4.33,55.77,,Newton Mearns,,,,
,node,0.72,51.54,,Kursaal,,,,
,node,-2.6588,56.7325,,Brechin,,,,
,node,-4.3178,55.9411,,Milngavie,,,,
,node,-2.7934,57.4404,,Huntly,,,,
,node,-2.17,53.55,,East Middleton,,,,
,node,-3.433,55.5053,,Tweeddale,,,,
,node,-2.9875,53.165,,Broughton,,,,
,node,-1.77,53.83,,Windhill,,,,
,node,-4.08,50.35,,Plymstock Dunstone,,,,
,node,-2.6436,51.5652,,Pilning,,,,
,node,-2.2,53.55,,South Middleton,,,,
,node,-2.95,53.28,,Ledsham,,,,
,node,-3.18,53.38,,West Kirby,,,,
,node,-3.0054,51.6072,,Malpas,,,,
,node,-2.09,53.55,,St. James',,,,
,node,-2.0837,52.8325,,Hopton,,,,
,node,-3.3141,52.514,,Newtown,,,,
,node,-1.17,53.55,,Roman Ridge,,,,
,node,-2.74,55.6,,Leaderdale,,,,
,node,-3.3747,51.5172,,Pont-y-Clun,,,,
,node,-4.07,55.68,,Avondale,,,,
,node,-4,55.38,,Mid,,,,
,node,0.3531,51.5125,,Orsett,,,,
,node,-0.21,52.55,,Stanground,,,,
,node,-1.77,51.56,,Walcot,,,,
,node,-2,57.52,,Central Buchan,,,,
,node,-1.7702,52.7047,,Fradley,,,,
,node,-2.4311,53.5005,,Boothstown,,,,
,node,-3.0063,56.6737,,Kirriemuir,,,,
,node,-2.08,53.45,,Hyde Werneth,,,,
,node,-3.5,58.59,,Landward Caithness,,,,
,node,-1.983,52.6923,,Heath Hayes,,,,
,node,-4.2764,53.1403,,Caernarfon,,,,
,node,-2.0721,53.5503,,Waterhead,,,,
,node,-2.905,53.2735,,Whitby,,,,
,node,-3.562,51.5479,,St. Bride's Minor,,,,
